"bin.taxa.name","bins","kingdom","phylum","class","order","family","genus","species","DCO_LLO_Bv4v5..QHF2_QH170212_2","DCO_LLO_Bv4v5..QHS2_QH170213_2","DCO_LLO_Bv4v5..BQS_BQ170220","DCO_LLO_Bv4v5..SIF_SI170217","DCO_LLO_Bv4v5..ESF9_ES_F9","DCO_LLO_Bv4v5..SIS_SI170217","DCO_LLO_Bv4v5..EPF_EP170215","DCO_LLO_Bv4v5..RSS_RS170216","DCO_LLO_Bv4v5..RSF_RS170216","DCO_LLO_Bv4v5..EPS_EP170215","DCO_LLO_Bv4v5..SLS_SL170214_S","DCO_LLO_Bv4v5..BRS1_BR170218_1","DCO_LLO_Bv4v5..BRS2_BR170218_2","DCO_LLO_Bv4v5..FAS_FA170219","DCO_LLO_Bv4v5..BRF1_BR170218_1","DCO_LLO_Bv4v5..BRF2_BR170218_2","DCO_LLO_Bv4v5..MTF_MT170219","DCO_LLO_Bv4v5..CYF_CY170214","DCO_LLO_Bv4v5..SLF_SL170214","DCO_LLO_Bv4v5..BQF_BQ170220","DCO_LLO_Bv4v5..QNF_QN170220","DCO_LLO_Bv4v5..QNS_QN170220","DCO_LLO_Bv4v5..CYS_CY170214","DCO_LLO_Bv4v5..ETS_ET170220","DCO_LLO_Bv4v5..RVF_RV170221","DCO_LLO_Bv4v5..TCF_TC170221","DCO_LLO_Bv4v5..TCS_TC170221_2","cluster"
"bin_322, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, GJ~E10","bin_322","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","GJ~E10","",0,0.053084422,0.038015402,0.362673338,0.600211719,0.560634768,0.625730255,0.341382978,0.450081023,0.246521488,0.088491986,0.057626296,33.59311226,1.252695855,0.541209025,2.225537723,0.234133503,0.183175675,3.097824938,0,1.442216254,0.386659598,2.027723407,0.458443797,0.227529798,2.846874537,0.446845138,2
"bin_195, Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Saprospiraceae","bin_195","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","","",0,0,0,0,0.03373906,0.07798883,0,0,0.032219832,0,0.071217738,0,0,0,0.041893546,0,0.046656704,0,0.095702648,0,0.068933985,0,0.17481141,0.035488177,0,0.08117683,0.049294027,2
"bin_54, Bacteria, Gemmatimonadota, Gemmatimonadetes, Gemmatimonadales, GWC2~71~9","bin_54","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","GWC2~71~9","","",0,0,0,0,0.040278889,0.03158601,0.045169075,0.074066803,0.142218969,0.060533367,0,6.429623682,61.68491812,0.488409223,3.333231695,4.504984644,0.140647062,0.033037985,0.268440334,0,0.155216675,0.061060251,0.571623526,0.248419629,0.472077837,0.21536329,0,2
"bin_133, Bacteria, KSB1, UBA2214, UBA2214","bin_133","Bacteria","KSB1","UBA2214","UBA2214","","","",0,0,0,0,0.044921044,0.030715728,0.051632558,0.064094604,0.107416332,0.046957609,0.196205212,0.036602628,14.55818076,0.057970473,1.275037723,0.480313364,0.034757156,0,0.632503558,0,0.167083568,0.043053873,0.531182888,0.293210518,0.036256289,0.107192575,0,2
"bin_252, Bacteria, Deinococcota, Deinococci, Deinococcales, Thermaceae, Meiothermus","bin_252","Bacteria","Deinococcota","Deinococci","Deinococcales","Thermaceae","Meiothermus","",0,0.037238502,0.088135198,0.35156648,0.85459322,16.41207842,0.208671406,0.06071569,0.163774677,0.13964895,0.135332744,0.119571735,0,0.153088238,0.423599541,0,1.87868241,0.494304935,1.808473325,0,0.082219505,0,0.226373368,0.066691712,0.197789365,18.21279676,0.514677402,2
"bin_11, Bacteria, Acidobacteriota, Mor1, Mor1","bin_11","Bacteria","Acidobacteriota","Mor1","Mor1","","","",0,0,0,0.04071727,0.07695434,0.067905668,0.088171541,0.167661991,0.245952577,0.101458144,0.063855201,0.087679081,0.126230311,7.621543402,0.064304231,0.062168611,0.069530599,0.337150871,0.777752934,0,0.303038561,0.086751797,452.9694603,0.300261733,0.071285911,0.302383178,0.044465908,2
"bin_353, Bacteria, Chloroflexota, Anaerolineae, SBR1031, AB","bin_353","Bacteria","Chloroflexota","Anaerolineae","SBR1031","AB","","",0,0,0,0,0.044159719,0.030389953,0,0,0,0,0,0,0,0,0.072836152,0,0.313861836,0.053383097,0.068263889,0,0.042690713,0,4.738570979,0.037755462,0,0.039788013,0,2
"bin_215, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium","bin_215","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","",0,0,0,0,0,0,0,0.037281195,0.075986654,0,0,0,0,0,0,0.108700813,0.100682832,0,0.099480705,0,23.25316757,36.81248582,0,0.032769024,0.108353094,0.078096036,0,2
"bin_20, Bacteria, Cyanobacteriota, Cyanobacteriia, PCC~7407, PCC~7407","bin_20","Bacteria","Cyanobacteriota","Cyanobacteriia","PCC~7407","PCC~7407","","",0,0,0.109022879,2.177035183,4.247413646,18.36336135,0,0,0.031126801,0,0,0,0.092513176,0.056158889,0,0.231133323,0.055219549,0.971333062,0.06827034,0,0.043212281,0,0.198832005,0,0,0.042959476,0,2
"bin_137, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_137","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0.110585811,0.032532616,0.087577491,0.225567726,0.513720558,0.075893529,0.123887468,0.176777466,0.107911764,0.725648824,0,1.52987242,3.641194776,0.03257096,0.203280212,1.219043068,0.752000719,2.727021048,0,0.193374262,0.114768063,1.040853593,0.308922411,0.103756146,4.915965469,3.73408659,2
"bin_354, Bacteria, Bacteroidota, UBA10030, UBA10030","bin_354","Bacteria","Bacteroidota","UBA10030","UBA10030","","","",0,0,0,0,0,0,0.058710173,0.044750524,0.107828474,0.034213333,2.93975781,0,0.172650427,76.92385376,0,0,0.030434895,0.032920261,1.243088386,0,0.073365196,0.031613824,13.89211857,0.557389252,0.055288647,0.488307492,0.171803624,2
"bin_243, Bacteria, Bacteroidota, UBA10030, UBA10030","bin_243","Bacteria","Bacteroidota","UBA10030","UBA10030","","","",0,0,0,0,0,0,0.037649184,0.031935948,0.075048345,0.031222714,0,0.033722226,15.60810855,0.252041764,0.496182778,1.481098911,0.030415071,0,0.116699926,0,0.073525867,0,7.255303025,0.383452344,0,0.219756262,0.079191678,2
"bin_7, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae","bin_7","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","","",0,0,0.044747425,0.107178966,0.239959525,0.569943259,0.066495579,0.124505095,0.194849819,0.10054683,0.769664602,0,19.44060702,4.069188093,0.119260888,1.51929099,1.672227441,0.738601748,3.005968627,0,0.225807445,0.127149648,1.06912266,0.240361538,0.122528517,5.077558839,3.664338596,2
"bin_213, Bacteria, Acidobacteriota, Thermoanaerobaculia","bin_213","Bacteria","Acidobacteriota","Thermoanaerobaculia","","","","",0,0,0.037088579,0.035416214,0.066674521,0.063494563,0.109150454,0.161959568,0.245254266,0.112998346,0.037371126,0.04357292,35.10751316,1.059929252,0.076762494,2.227537511,0.730556982,0.036623798,0.37572011,0,0.198585291,0.107610997,0.395752451,0.63887958,0.594185237,0.514558931,2.452685172,2
"bin_219, Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae","bin_219","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","","",0,0,0.032927128,0.214061403,0.3529701,0.227702651,0.140877837,0.17482174,0.327952395,0.121782802,0.108603668,0,1.285978801,0.077034962,0.227271491,0.255092665,0.27918241,1.015450918,1.449224113,0,1.046976902,0.205163885,1.531424404,0.415870754,0.165626483,1.231196184,0.240351824,2
"bin_384, Bacteria, Acidobacteriota, Thermoanaerobaculia, Thermoanaerobaculales, Thermoanaerobaculaceae","bin_384","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","","",0,0,0.034699006,0.041746106,0.085134567,0.056766255,0.092575774,0.141401927,0.261264026,0.102647191,0.144493161,0.056107896,46.57212655,3.697783461,0.077329648,7.505624915,0.111809618,0.052872831,0.528108272,0,0.228476171,0.096624547,0.485278351,0.234025597,1.672331189,0.395161314,0.871782055,2
"bin_112, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera","bin_112","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","",0,0,0,0,0,0,0,0,0.065877863,0,0,0,0.032955237,0,0,0,0.095524432,0,0.100126142,0,0.040303751,0,0.60879765,55.88619324,0.268335348,0.902050506,0,2
