sample,code,station,site_name,type,lat,long,trench,lat_proj,province,simpl_prov,plate,region,geol_prov,rocks,volcano,anions,cations,alt,temp,do,spc,ph,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,co2,h2,o2,ch4,co2_d13,rc_ra,co2_he3,cells_flu,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,h2s,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
DCO_LLO_Bv4v5..ETS_ET170220,ET,ET170220_1,Eco Thermales 1,S,10.484006,-84.675853,173.292858,9.049541842,arc,arc,North,guanacaste,4,QPI,Ar,gw,g2,368,40,13.4,1911,6.06,NA,NA,NA,NA,1.0475886,-28.6769596,1.640584,-27.4539505,NA,NA,NA,NA,NA,NA,NA,51600,18.6,0.9,19.5,77,NA,NA,NA,NA,NA,NA,1.151346489,0.578094408,38.00010641,1.60518005,2.381214776,0.055919207,0.205064172,0.004822943,0.004001632,0.031871783,0,8.156303099,1.547502393,NA,0.002444875,0.053262581,0.003135263,0.012588571,4.294620435,0,0.65172711,3.635083951,1.748588529,47.634,114.6,38.4,3434,57.6,36,227.9,100.6,0.826,1.5
DCO_LLO_Bv4v5..MTF_MT170219,MT,MT170219,Mouse Trap,F,10.595774,-85.238451,152.5540483,9.333031789,forearc,arc,North,guanacaste,4,QPI,Mi,gw,g3,166,59.1,12.4,6150,6.32,21.7,3.55,1.66,-7.38,0.24926,-24.0510152,1.2467601,-4.654307,988.3,0.00011,2.25954,0.74033,-0.84,3.574919441,6.85E+11,75500,10.9,15.6,26.5,31.3,2.85,0.9,1.45,0,0,0,4.752919524,0.519268642,4.37736151,1.020672847,0.949295768,0.283929132,0.478884923,0.001593755,0.006379461,0.025256878,0.014486842,34.42172028,0.140360978,0.05,0.019460875,0,0.001264211,0.325125714,34.23772957,0,1.062670077,0.125771193,0.696383541,45.766,90.4,17.5,927.7,41.3,18.3,53.7,106.8,0.253,1.04
DCO_LLO_Bv4v5..PLS_PL170224,PL,PL170224,Poas Volcano lake,S,10.196777,-84.229892,164.5224097,8.834952797,arc,arc,North,poas,4,QPV,Po,vl,g1,2334,37.6,46.6,91900,0.85,0.86,-2.97,0.57,-20.66,0.0226216,-22.1303128,0.0038383,1.1829,971.2,7.37495,0.10442,0.00048,NA,NA,NA,3110,6.4,3,9.3,46.1,2.49,NA,3.48,0,2.36028,-2.910176414,52,2.096462251,145.7421328,113.1002195,16.0532882,0.086781204,7.310236881,0.066492703,0.134473732,1.597294276,0,109.7164054,99.21702685,7.2,0.033465,0,0,0.006504286,3.361191739,0.020711111,1.5951711,4.852382305,18.08279626,NA,9.6,2,62.2,3.3,1.2,59,6.6,0.135,0.71
DCO_LLO_Bv4v5..QNF_QN170220,QN,QN170220,Quebrada naranja,F,10.495573,-84.696714,173.6816697,9.057888451,arc,arc,North,guanacaste,4,QPI,Ar,iw,g1,429,22.9,84,196.7,5.6,2.81,-1.95,0.42,-13.82,0.2045144,-24.643724,0.3030315,-21.4826104,926.4,0.00354,0.77759,64.67717,-2.76,4.89149281,40666504402,186000,20.6,8.9,29.5,112.7,7.7,1.25,1.12,0,0,0,1.944983923,0.573909512,4.110804951,1.047733179,0.791218116,0.026498583,0.162639804,0.000677085,0.004881343,0.036081269,0,0.312850141,0.029487721,0.05,0,0.038595968,0.001112,0,0.46353,0.519565,0.119185166,0.293941564,0.7302601,23.817,79.9,35.5,1273.4,259.8,20.2,81.8,87.7,0.063,0.58
DCO_LLO_Bv4v5..QNS_QN170220,QN,QN170220,Quebrada naranja,S,10.495573,-84.696714,173.6816697,9.057888451,arc,arc,North,guanacaste,4,QPI,Ar,iw,g1,429,22.9,84,196.7,5.6,2.81,-1.95,0.42,-13.82,0.2045144,-24.643724,0.3030315,-21.4826104,926.4,0.00354,0.77759,64.67717,-2.76,4.89149281,40666504402,186000,20.6,8.9,29.5,112.7,7.7,1.25,1.12,0,0,0,1.944983923,0.573909512,4.110804951,1.047733179,0.791218116,0.026498583,0.162639804,0.000677085,0.004881343,0.036081269,0,0.312850141,0.029487721,NA,0,0.038595968,0.001112,0,0.46353,0.519565,0.119185166,0.293941564,0.7302601,23.817,79.9,35.5,1273.4,259.8,20.2,81.8,87.7,0.063,0.58
DCO_LLO_Bv4v5..FAS_FA170219,FA,FA170219_1,Finca Ande,S,10.336843,-85.069499,139.5991149,9.181375807,forearc,forearc,North,forearc,3,TV,f,gw,g3,109,55.2,10.3,5500,5.93,NA,NA,NA,NA,1.227636,-26.4655491,2.9632385,-19.1040767,995.1,0.0014,0.25019,0.01853,-1.36,4.361179156,8.98E+11,1310000,23.5,13.2,36.6,273.5,4.65,47.63,2.5,4.342237726,0,4.342237726,1.625030713,0.487230389,21.69209465,5.809076106,5.995884237,0.184986885,0.359280914,0.000697918,0.006269783,0.022250104,0.019291053,20.36802141,6.187449844,NA,0.007893375,0.025763871,0.002933684,0.252812857,25.03894217,3.566246111,1.669922762,1.666677366,2.660672319,NA,6.6,6.2,2320.8,360.5,9.2,30.2,900.5,0.024,0.45
DCO_LLO_Bv4v5..RSS_RS170216,RS,RS170216,Ranchero etl Salitral,S,10.232331,-85.531602,99.42969087,9.409422993,outer_forearc,forearc,North,forearc,2,QA,f,gw,g3,82,29.4,5.6,273.1,9.96,0.25,-16.04,0.3,-24.55,1.1900778,-27.6394389,1.4260331,-27.0295283,0,0.22825,106.49979,0.6938,NA,2.656188894,1181184942,361000,330,209,539,94.7,10.69,2.35,3.61,1.718629769,0,1.718629769,14.17343058,0.571250198,0.293244045,0.645806235,0.086573303,0.027748641,0.060927884,0.000406251,0.005462382,0.035479914,0.007140526,0.647318592,0.065008637,0.05,0.000614875,0,0.000766842,0,1.603995652,0.008457778,0.018425831,0.010883951,0.084014464,25.685,73.7,199.9,1865.4,102.9,110.8,138.5,145.9,0.34,1.29
DCO_LLO_Bv4v5..RSF_RS170216,RS,RS170216,Ranchero etl Salitral,F,10.232331,-85.531602,99.42969087,9.409422993,outer_forearc,forearc,North,forearc,2,QA,f,gw,g3,82,29.4,5.6,273.1,9.96,0.25,-16.04,0.3,-24.55,1.1900778,-27.6394389,1.4260331,-27.0295283,0,0.22825,106.49979,0.6938,NA,2.656188894,1181184942,361000,330,209,539,94.7,10.69,2.35,3.61,1.718629769,0,1.718629769,14.17343058,0.571250198,0.293244045,0.645806235,0.086573303,0.027748641,0.060927884,0.000406251,0.005462382,0.035479914,0.007140526,0.647318592,0.065008637,0.05,0.000614875,0,0.000766842,0,1.603995652,0.008457778,0.018425831,0.010883951,0.084014464,25.685,73.7,199.9,1865.4,102.9,110.8,138.5,145.9,0.34,1.29
DCO_LLO_Bv4v5..SIS_SI170217,SI,SI170217,El Sitio,S,10.301239,-85.610549,99.63642052,9.47661829,outer_forearc,forearc,North,forearc,1,QA,f,iw,g3,36,35.9,36.2,3469,9.83,2.24,-6.43,0.4,-18.27,4.4480836,-27.4905224,5.9599208,-26.6606266,67.4,0.00342,4.01363,0,NA,0.392890805,2173955350,18800,13.8,9,22.8,92,11.21,7.99,11.97,46.39437945,0,46.39437945,5.597937981,0.51337022,0.837906807,0.779351736,0.119822768,0.03094214,0.104743229,0.000697918,0.005635062,0.034878559,0.010515263,0.636855211,0.030131009,57.8,0.00035475,0.026748226,0.000733158,0.00034,1.11079087,0,0.030147315,0.022735391,0.149240648,33.157,74.1,100.3,1065.7,64.3,55.8,69.5,96.6,0.245,0.73
DCO_LLO_Bv4v5..SIF_SI170217,SI,SI170217,El Sitio,F,10.301239,-85.610549,99.63642052,9.47661829,outer_forearc,forearc,North,forearc,1,QA,f,iw,g3,36,35.9,36.2,3469,9.83,2.24,-6.43,0.4,-18.27,4.4480836,-27.4905224,5.9599208,-26.6606266,67.4,0.00342,4.01363,0,NA,0.392890805,2173955350,18800,13.8,9,22.8,92,11.21,7.99,11.97,46.39437945,0,46.39437945,5.597937981,0.51337022,0.837906807,0.779351736,0.119822768,0.03094214,0.104743229,0.000697918,0.005635062,0.034878559,0.010515263,0.636855211,0.030131009,57.8,0.00035475,0.026748226,0.000733158,0.00034,1.11079087,0,0.030147315,0.022735391,0.149240648,33.157,74.1,100.3,1065.7,64.3,55.8,69.5,96.6,0.245,0.73
