organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_225,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0
bin_226,,,1.0,1.0,4.0,,,2.0,2.0,2.0,3.0,1.0,,4.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0
bin_227,,,,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,,,5.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,1.0,2.0
bin_228,,,,1.0,3.0,,,,1.0,1.0,2.0,,,3.0,1.0,,1.0,3.0,5.0,3.0,1.0,1.0,1.0
bin_229,2.0,,1.0,1.0,,,1.0,,,,2.0,,,3.0,,,,1.0,1.0,,,,
bin_23,,,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_230,1.0,1.0,1.0,3.0,5.0,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_231,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0
bin_232,,,,2.0,3.0,1.0,1.0,,,1.0,2.0,1.0,,4.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,3.0
bin_233,,,,,1.0,,,,1.0,,,,,2.0,1.0,,,1.0,2.0,,,,1.0
bin_234,1.0,,1.0,3.0,4.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,3.0,4.0,3.0,,1.0,2.0
bin_235,,,,2.0,5.0,1.0,1.0,,2.0,2.0,4.0,1.0,,6.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,2.0
bin_236,,,,3.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,,3.0
bin_237,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_238,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0
bin_239,1.0,,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0
bin_24,,,,1.0,3.0,1.0,1.0,1.0,,,2.0,,,4.0,1.0,2.0,1.0,2.0,6.0,,1.0,,1.0
bin_240,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,,3.0
bin_241,,,,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,1.0,,5.0,2.0,3.0,,4.0,5.0,2.0,,1.0,3.0
bin_242,,,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,,5.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,3.0
bin_243,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,5.0,1.0,2.0,,2.0,4.0,2.0,,1.0,3.0
bin_244,,,,2.0,1.0,,1.0,1.0,,2.0,3.0,,,4.0,1.0,1.0,1.0,2.0,4.0,2.0,,,2.0
bin_245,1.0,1.0,,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_246,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,5.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0
bin_247,2.0,,,2.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,4.0,1.0,3.0,1.0,2.0,6.0,3.0,1.0,1.0,3.0
bin_248,,,,3.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,5.0,2.0,2.0,1.0,3.0,5.0,1.0,,,3.0
