organism,16s,23s,5s,alanine,arginine,asparagine,asparticacid,cysteine,glutamicacid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine
bin_333,,,,2.0,5.0,,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,,3.0
bin_334,,,,2.0,,,,1.0,,2.0,1.0,1.0,,2.0,,,1.0,3.0,5.0,2.0,1.0,1.0,2.0
bin_335,,,,2.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,5.0,2.0,3.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0
bin_336,,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,,2.0,1.0,4.0,,,1.0,1.0,1.0,1.0,2.0
bin_337,1.0,1.0,1.0,5.0,5.0,,1.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_338,3.0,1.0,1.0,1.0,4.0,,1.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_339,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,,,3.0
bin_34,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,1.0,3.0,1.0,3.0,4.0,3.0,,1.0,1.0
bin_340,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,,3.0,4.0,3.0,,,2.0
bin_341,1.0,1.0,,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0
bin_342,2.0,,,2.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,,2.0,4.0,2.0,1.0,1.0,3.0
bin_343,,,1.0,2.0,5.0,,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_344,,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,4.0,2.0,,,4.0,3.0,2.0,,1.0,3.0
bin_345,,,,4.0,5.0,1.0,,1.0,1.0,1.0,2.0,,,4.0,2.0,1.0,,2.0,2.0,3.0,,1.0,3.0
bin_346,,,,1.0,2.0,,1.0,,1.0,1.0,2.0,1.0,,3.0,2.0,1.0,1.0,2.0,,1.0,,,2.0
bin_347,,,,1.0,2.0,,1.0,,2.0,1.0,2.0,,1.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0
bin_348,,,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_349,,,1.0,3.0,5.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,4.0,2.0,3.0,,3.0,4.0,3.0,1.0,1.0,1.0
bin_35,,,,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,,,5.0,1.0,2.0,1.0,2.0,3.0,1.0,,,3.0
bin_350,,,,2.0,3.0,,,,2.0,2.0,1.0,1.0,,4.0,2.0,2.0,1.0,2.0,4.0,1.0,,,2.0
bin_351,,,,2.0,3.0,,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,1.0,3.0,1.0,2.0,2.0,3.0,,,1.0
bin_352,,,,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,,,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0
bin_353,,,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_354,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_355,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_356,,,,1.0,3.0,1.0,1.0,1.0,,,2.0,,1.0,4.0,,1.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0
bin_357,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_358,,,,1.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,,6.0,2.0,4.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0
bin_359,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0
bin_36,,,1.0,1.0,4.0,,,,2.0,2.0,1.0,1.0,,3.0,2.0,,,2.0,3.0,3.0,,1.0,
bin_360,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,,,3.0
bin_361,,,,4.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,6.0,3.0,1.0,1.0,3.0
bin_362,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,,,5.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0
bin_363,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,,,2.0
bin_364,,,1.0,2.0,3.0,1.0,1.0,,3.0,1.0,3.0,1.0,,3.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0
bin_365,1.0,,,,4.0,1.0,,,,3.0,1.0,1.0,1.0,3.0,2.0,,1.0,2.0,3.0,2.0,,1.0,2.0
bin_366,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,5.0,1.0,3.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0
bin_367,,,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_368,,,,2.0,3.0,,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_369,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,7.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0
bin_37,,,,2.0,3.0,1.0,1.0,,2.0,,4.0,,,5.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0
bin_370,1.0,,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0
bin_371,,,,1.0,3.0,,,1.0,1.0,1.0,4.0,,,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,4.0
bin_372,,,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,2.0
bin_373,,,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,,2.0
bin_374,1.0,1.0,1.0,3.0,3.0,,,,1.0,,2.0,,,,1.0,2.0,,3.0,1.0,1.0,,,3.0
bin_375,,,,1.0,2.0,,,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,,,3.0
bin_376,,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_377,1.0,1.0,1.0,3.0,5.0,,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0
bin_378,,,,4.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,5.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0
bin_379,,1.0,,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,4.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_38,,,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,,5.0,1.0,3.0,1.0,3.0,6.0,3.0,2.0,1.0,3.0
bin_380,,,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,5.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,,3.0
bin_381,,,,2.0,3.0,1.0,,1.0,1.0,,2.0,,,2.0,,1.0,1.0,1.0,4.0,2.0,,1.0,2.0
bin_382,,,,3.0,4.0,,,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,,2.0,5.0,2.0,1.0,1.0,2.0
bin_383,1.0,,,1.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,3.0,2.0,1.0,,,2.0,2.0,1.0,,
bin_384,1.0,,,3.0,5.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0
bin_385,,,,2.0,2.0,,1.0,,1.0,2.0,2.0,,,4.0,1.0,3.0,,2.0,1.0,1.0,,,2.0
bin_386,1.0,1.0,1.0,3.0,5.0,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,6.0,1.0,1.0,,3.0
bin_387,,,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,3.0,1.0,,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,4.0
bin_388,,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,2.0,,,1.0
bin_389,,,,,3.0,,,1.0,,,2.0,1.0,,5.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0
bin_39,,,1.0,,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_390,,,1.0,2.0,4.0,1.0,1.0,,2.0,2.0,2.0,1.0,,6.0,1.0,3.0,,3.0,5.0,3.0,,1.0,2.0
bin_391,,,1.0,1.0,2.0,1.0,1.0,,2.0,3.0,,1.0,,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0
bin_392,1.0,,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,6.0,3.0,2.0,1.0,4.0
bin_393,1.0,,1.0,2.0,3.0,1.0,,,2.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,3.0
bin_394,1.0,,1.0,3.0,2.0,1.0,,,2.0,1.0,3.0,,1.0,2.0,,,1.0,3.0,1.0,,1.0,,2.0
bin_395,,,,,4.0,,2.0,1.0,3.0,2.0,3.0,1.0,,5.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0
bin_396,,,1.0,3.0,5.0,,1.0,1.0,1.0,2.0,2.0,1.0,,5.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0,,3.0
bin_397,2.0,1.0,,,4.0,,1.0,,3.0,2.0,4.0,1.0,,2.0,2.0,4.0,1.0,3.0,2.0,,1.0,,2.0
bin_398,,,,1.0,5.0,,,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0
bin_399,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,4.0,1.0,1.0,1.0,3.0,1.0,4.0,,,4.0
bin_4,1.0,,1.0,3.0,4.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0
bin_40,,,,2.0,3.0,1.0,2.0,,1.0,2.0,2.0,1.0,,4.0,1.0,1.0,,2.0,4.0,1.0,,,1.0
bin_400,,,,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0
bin_401,,,,2.0,4.0,,1.0,,2.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,3.0,3.0,1.0,,,3.0
bin_402,2.0,1.0,1.0,3.0,5.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_403,1.0,,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,4.0,1.0,3.0,1.0,2.0,6.0,3.0,1.0,1.0,2.0
bin_404,,,1.0,2.0,7.0,1.0,1.0,,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,,2.0
bin_405,,,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,4.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,,3.0
bin_406,,,,3.0,1.0,,,1.0,,2.0,2.0,,,2.0,,1.0,,,,1.0,,,
bin_407,,,,3.0,3.0,,,,2.0,1.0,2.0,1.0,,3.0,3.0,,1.0,3.0,7.0,1.0,,,1.0
bin_41,,,,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,4.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,,3.0
bin_42,1.0,,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,,3.0
bin_43,,,,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_44,1.0,,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_45,,,,2.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,3.0,2.0,3.0,,2.0,2.0,3.0,1.0,1.0,2.0
bin_46,1.0,,,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0
bin_47,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,1.0,6.0,3.0,1.0,1.0,3.0
bin_48,,1.0,,1.0,4.0,,1.0,,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0
bin_49,,,,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,,4.0,,2.0,,3.0,3.0,2.0,1.0,,2.0
bin_5,,,,,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_50,1.0,,,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
bin_51,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_52,,,1.0,,2.0,,,1.0,2.0,2.0,2.0,,,4.0,1.0,3.0,1.0,4.0,5.0,,1.0,,3.0
bin_53,1.0,1.0,1.0,3.0,5.0,1.0,,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,,2.0,4.0,3.0,1.0,2.0,2.0
bin_54,2.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,6.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_55,,,1.0,2.0,3.0,1.0,,1.0,2.0,,2.0,1.0,,4.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,3.0
bin_56,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,5.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,,3.0
bin_57,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_58,,,1.0,2.0,5.0,1.0,,1.0,2.0,2.0,1.0,1.0,,5.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0
bin_59,1.0,,,3.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,5.0,6.0,2.0,2.0,3.0
bin_6,,,,2.0,4.0,,,1.0,1.0,2.0,2.0,,,4.0,,1.0,,3.0,1.0,1.0,,,1.0
bin_60,1.0,,,2.0,5.0,,1.0,1.0,2.0,2.0,3.0,1.0,,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_61,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_62,,,1.0,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,3.0,1.0,1.0,1.0,,,,
bin_63,1.0,1.0,1.0,3.0,9.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,1.0,10.0,2.0,4.0,2.0,3.0,5.0,5.0,1.0,1.0,4.0
bin_64,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,6.0,3.0,1.0,1.0,3.0
bin_65,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,1.0,3.0,2.0,2.0,,,3.0
bin_66,,,,1.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
bin_67,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,,,3.0,4.0,3.0,1.0,1.0,4.0
bin_68,,,1.0,2.0,5.0,,1.0,1.0,2.0,1.0,4.0,1.0,,5.0,1.0,3.0,1.0,,4.0,,1.0,,2.0
bin_69,,,1.0,1.0,1.0,,,,,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,,,
bin_7,1.0,,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,5.0,2.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,3.0
bin_70,,,,,2.0,,,,1.0,1.0,3.0,2.0,,4.0,1.0,1.0,,2.0,1.0,,,,3.0
bin_71,1.0,,1.0,2.0,6.0,1.0,,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,,1.0,5.0,3.0,,,
bin_72,,,,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,,5.0,2.0,2.0,,3.0,3.0,3.0,1.0,1.0,3.0
bin_73,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,3.0,2.0,1.0,,,3.0
bin_74,1.0,1.0,,6.0,5.0,,1.0,1.0,2.0,3.0,4.0,1.0,1.0,7.0,2.0,3.0,1.0,3.0,5.0,6.0,1.0,1.0,3.0
bin_75,,,,1.0,4.0,1.0,1.0,1.0,,1.0,,1.0,,4.0,1.0,2.0,1.0,3.0,2.0,1.0,,,3.0
bin_76,1.0,,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0
bin_77,,,2.0,,3.0,,,1.0,1.0,1.0,3.0,,,3.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0
bin_78,,,1.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,,5.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0
bin_79,,,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,,1.0,1.0,3.0,3.0,,,3.0
bin_8,,,,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,5.0,1.0,2.0,,3.0,5.0,2.0,1.0,,3.0
bin_80,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_81,,,,2.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,,6.0,5.0,1.0,,,2.0
bin_82,,,1.0,,3.0,,1.0,,2.0,1.0,1.0,1.0,,4.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,
bin_83,,,1.0,1.0,5.0,1.0,,1.0,1.0,,2.0,1.0,,3.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0
bin_84,1.0,,,1.0,5.0,2.0,1.0,,,1.0,2.0,,,5.0,2.0,2.0,1.0,1.0,1.0,2.0,,,2.0
bin_85,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,,3.0,4.0,3.0,1.0,1.0,3.0
bin_86,,,,2.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,4.0,2.0,3.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0
bin_87,,,,3.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,5.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0
bin_88,,,,3.0,5.0,1.0,1.0,,,2.0,2.0,1.0,,5.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0
bin_89,3.0,3.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0
bin_9,,,,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,5.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,,2.0
bin_90,1.0,,,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0
bin_91,,,1.0,2.0,4.0,,,,1.0,,2.0,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0
bin_92,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0
bin_93,,,,3.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,6.0,2.0,3.0,1.0,3.0,5.0,3.0,,1.0,3.0
bin_94,1.0,,,2.0,7.0,,,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0
bin_95,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,5.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0
bin_96,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0
bin_97,,,4.0,5.0,5.0,2.0,3.0,,3.0,1.0,4.0,1.0,,5.0,3.0,3.0,1.0,4.0,6.0,3.0,,2.0,5.0
bin_98,,,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,,5.0,2.0,3.0,,3.0,5.0,3.0,1.0,1.0,3.0
bin_99,1.0,1.0,,2.0,4.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0
