bins,BQ_S1_,MTF_,BRF1_,RS_S9_,BR1_S2_,SIS_,QH2_S7_,QHS1_S13_,PG_S6_,CY_S3_,SL_S11_,BRS2_,CYS_S13_,RVF_,PLS_,RSS_,TC_S12_,QN_S8_,EPS_S14_,EP_S4_,SLS_,PFS_,QNS_,BRF2_,TCS_,PF_S5_,PBS_,FAS_S15_,BQS_,ETS_,ALL_READS,QHS2_,SI_S10_,BQF_,BRS1_,ESF9_,PGS_,ARS_
bin_270,0,0.135551251,0.011271662,0.063216819,0.021589476,0.034143479,0.005016305,0.002267133,0.010046312,0.067435636,0.057359332,0.462943446,0.035643652,23.27279893,0.003195384,0.024737635,0.083446992,0.041720149,0.017738621,0.043946443,0.092472757,0.018792751,0.015179764,4.250502416,0.020717073,0.029493158,0.000854754,0.451980654,0.001519443,0.021306125,0.523063029,0.00085648,0.033490149,0,0.005513628,0.05696802,0.013994203,0.167396681
bin_30,0,0.020106133,0.002291997,0.00486957,0.014378243,0.003965015,0.001146313,0.000807477,0.001860576,0.017467352,0.009517697,0.011058477,0.005204559,21.31152934,0.006383537,0.007278031,0.040338978,0.004752495,0.004763136,0.00841869,0.010330591,0.015585326,0.002325947,0.102861031,0.001922317,0.012183744,0,0.047919747,0,0.001803086,0.38160662,0.001835202,0.001480706,0,0.003284629,0.002489338,0.001234539,0.006220041
bin_266,0,0.032196443,0.003681612,18.10913711,0.00495371,3.380044615,0.001740781,0,0.002574683,0.008673418,0.025307356,0.003509464,0.01089917,0.008490978,0.019651368,32.28715587,0.009776549,0.027679919,9.563919447,6.173011724,0.008670822,0.040047415,0.009767686,0.012362185,0.008055434,0.031696263,0.002227885,0.002962185,0.049695913,0.011187438,1.544378916,0.002892463,0.232111655,0,0.000563817,0.228353687,0.013661407,0.011321816
bin_302,0,0.059451636,0.02254968,0.158791921,0.042455822,0.030292894,4.233811317,0.013706565,0.033103773,0.009541548,0.180198599,0.037483945,0.20343174,0.042223504,0.988115107,0.16531635,0.10807173,0.070474376,0.097653019,0.066381706,0.012072024,0.239935684,0.067739163,0.131659644,0.044657821,0.144366366,0.002158311,0.04216347,0.022658976,0.092827425,1.14195627,27.87399987,0.051302023,0.000426491,0.007222844,0.094871696,0.139278045,0.365770041
bin_248,0,0.015267387,0.007913887,13.02885756,0.017067628,16.03445476,0.00036514,0.006185168,0.002713383,0.005066881,0.111956175,0.022994058,0.242557781,0.017720684,0.034372083,5.801058915,0.056302682,0.075571695,2.71711514,4.287033386,0.010629497,0.05271831,0.032474115,0.011403245,0.022289007,0.111712021,0.002757471,0.034124869,0.132393108,0.088874634,1.142525514,0.003427153,0.17600527,0.000247567,0.006856818,1.271251234,0.115042932,0.364941949
bin_331,6.30E-05,0.091828884,0.054417874,0.345642792,0.090343318,0.080154399,0.003933637,0.004516225,0.022551488,0.0518038,0.578321978,0.046768759,0.596737446,0.082949872,11.56769277,0.204899366,0.309975033,0.537789421,0.128184623,0.114647724,0.016440998,0.445244398,49.97008034,0.079058357,0.053110371,0.413550506,0.01550286,0.044071779,0.109686024,0.257711427,2.488226446,0.033118569,0.059895056,0.000190836,0.017059781,0.125836512,0.218046923,1.757609331
bin_283,0,0.034510035,0.013814134,0.031357331,0.031698983,0.011769924,0.000303238,0.000821876,0.006701759,0.008131545,0.057981485,0.002913177,0.143903029,0.032953026,0.005792303,0.022163716,0.051887069,0.266291835,0.009915375,0.020649493,0.001457826,43.59118988,0.044810296,0.015839334,0.005080297,1.155054532,0.007113031,0.004677731,0.008684556,0.012008761,0.530682202,0.001555185,0.038525006,0.000787941,0.000284053,0.068237778,0.017460394,0.122185063
bin_174,0.00158433,1.908516694,0.806009061,0.739364297,1.375376997,0.87363593,0.003854408,0.01164127,0.018760431,0.532136729,1.776229858,54.19357171,1.911394918,0.408616412,0.162532097,0.452954289,7.834419982,0.362398456,0.404354544,0.504008457,1.861477973,0.808489982,0.109313593,3.775432129,1.495920072,0.554550865,0.021631602,12.64706182,0.069628334,0.663194933,2.610833204,0.02318751,0.12863248,0.000820122,0.23824293,0.250950469,0.337443134,3.286330474
bin_39,0.00014638,0.47597351,0.661637989,0.447297748,1.750686054,0.635001747,0.017822786,0.004769832,0.006230272,0.106162292,0.345444554,34.86194628,2.895037498,0.383399351,0.100823459,0.349584621,7.8903582,0.212172397,0.194263197,0.5603359,0.577831762,0.604495882,0.147798464,3.778276514,1.117779789,1.661089077,0.010887988,5.637303673,0.048541562,6.271015417,1.779083832,0.074932188,0.043380654,0.000145587,0.048723272,0.109677516,0.124633961,1.686287437
bin_176,0,0.06089423,0.026362662,0.2854234,0.041010019,0.045409509,0.008126434,0.003878353,0.047867812,0.017382109,0.213367361,0.054743143,0.201885605,0.054628937,0.023767173,0.169104054,0.123463923,0.170452167,0.195148435,0.166950484,0.02837502,0.240716564,0.155457387,0.040824234,0.040140463,0.49382953,0.008702638,0.039406317,1.196008441,0.335074689,0.624530464,0.064361416,0.027339154,0.000170097,0.013161621,0.058092409,12.63116201,0.783947335
bin_227,0,0.022947949,0.006986684,8.954902586,0.007866262,37.8396259,0.003821705,0.000221133,0.002407679,0.00313357,0.007474951,0.003783683,0.01137463,0.010791666,0.149367402,27.00704149,0.011816645,0.013478461,6.593263044,2.860727589,0.007816918,0.025604212,0.007867977,0.011433495,0.013338089,0.022974818,0.001015367,0.00330611,0.080514358,0.00858735,2.387692024,0.965256067,1.947403982,0,0.002353212,1.870681642,0.009100702,0.029294756
bin_373,0,0.012521134,0.001894273,1.47255312,0.004269013,3.94685681,1.203429397,0.009882083,0.00416597,0.024544036,0.010764971,0.00415361,0.010569471,0.01004922,0.31408314,1.414436946,0.02595574,0.033009013,1.904387613,1.060157405,0.00448161,0.030794487,0.030119956,0.012450729,0.004573867,0.019403954,0.002573698,0.006068666,0.010786588,0.007298054,0.74838396,12.63216295,0.085298102,0.00019266,0.000528236,0.135415141,0.011572919,0.032361128
bin_407,0.00052256,0.131946948,0.073408533,0.259907554,0.125060137,0.090907624,0.004102394,0.008095872,0.010352722,0.091891975,0.936204043,0.432458474,1.113414658,0.104264054,0.020448418,0.193840734,0.391631332,0.485183145,0.123393499,0.151727411,0.074593319,0.413574343,0.116650894,0.125559686,0.066400285,0.464086124,0.014539763,0.159836222,0.013970888,28.05063055,0.545878368,0.023204604,0.051420528,0,0.030071057,0.094844686,0.141683103,3.894294728
bin_395,0,0.082852809,0.592218712,0.019407314,1.893976168,0.005941363,0.000799532,0.001412372,0.004398754,0.016788345,0.010306616,0.004674775,0.004855066,0.021489119,0.002319445,0.005479652,1.126610401,0.113640364,0.00590163,0.017637778,0.012843261,0.032693869,0.006609579,33.18301797,0.008551157,0.164895289,0.002526899,0.004591406,0.000469326,0.002677072,0.563846075,0.002134945,0.015858293,0,0.006301664,0.031899861,0.004274806,0.024841488
bin_181,0.00013829,0.188186212,0.136474785,0.084777596,0.287995223,0.017838027,0.000527073,0.001189745,0.002117665,0.016001162,0.394945485,10.62558021,0.100750082,0.022410869,0.312799629,0.044188106,0.139317499,0.053608357,0.033074235,0.041017485,5.326467587,0.067677885,0.019593768,3.282833641,0.407096094,0.08011204,0.003395641,1.601608939,0.008716538,0.064593289,0.54046556,0.006329976,0.012754789,0.000136632,0.060981402,0.018532726,0.0436855,0.228092542
bin_201,0,0.07550695,0.046376576,4.813891927,0.094815079,1.210513036,0.392209107,0.008434801,0.009332656,0.047469322,0.39521891,0.046726517,0.32299184,0.049013981,0.053035696,19.19064565,0.245865028,0.44519101,2.611274218,1.6857102,0.014937545,0.133735677,0.052772294,0.050960062,0.036784935,0.324721291,0.009683881,0.046742657,0.01752198,0.269334007,0.716301061,0.498386287,0.17817612,0.001402407,0.018563677,0.405118289,0.125299388,1.724173162
bin_406,0,2.4153838,0.21315952,0.023246949,0.236332547,0.021825059,0.000418589,0,0.000177037,0.018944465,1.239125632,0.082855353,0.002452376,0.015628824,2.794602434,0.006303173,0.010717846,0.000808085,0.001302939,0.005321243,58.77290648,0.007555281,0.002221575,0.368788683,0.007302118,0.009785151,0.001155168,0.14415247,0,0.000953615,0.844124377,0.00047606,0.005823268,0.000347888,0.23536283,0.007511993,0.003572571,0.190655781
bin_372,0.000513361,0.494867886,0.28073615,0.146344352,0.635032965,1.73592744,0.000920288,0.000738395,0.002281877,0.019834409,1.927764252,14.85387795,0.031299046,0.040111885,0.048395156,0.022667331,3.721411975,0.015847151,0.011428943,0.025346755,1.220001763,0.013733217,0.005159466,7.830690489,1.554977982,0.027185329,0.002314353,7.209963344,0.013506093,0.02701233,1.030339865,0.004669547,0.016004607,0,0.078882019,0.034603298,0.01139657,0.064876256
bin_168,0.000156387,0.06976186,0.032065875,0.32241955,0.054433892,0.068765513,0.005659936,0.005512597,0.13440145,0.01366542,0.269784304,0.049429437,0.223748616,0.069097496,0.021715373,0.225087197,0.199305509,0.227809194,0.284503137,0.195519799,0.019576064,0.294518633,0.12121427,0.036314598,0.037496392,0.580049005,0.00586416,0.044305842,3.049394414,0.426628161,1.479400068,0.079777667,0.033678375,0.000320333,0.011985675,0.078677913,31.66617511,1.038110426
bin_303,0.007960786,832.6949399,0.157944349,0.006476956,0.338391304,0.000513916,0.001409836,0.000453112,0.000889477,439.0233287,31.62431616,0.016083228,3.364627831,0.032037783,0.183204331,0.00060147,0.028504833,0.001831431,0.001206305,0.00603312,3.08454081,0.001348574,0.001688764,0.668567507,0.057369188,0.004590075,0,1.032957447,0,0.001017349,24.84991842,0.002882837,0.030173045,0.001128554,0.020223814,0.191965416,0.001140576,0.003731405
bin_380,0.003809581,3.787081319,2.385057926,0.019030485,5.201547846,0.005911571,0.000557835,0.000532112,0.004369529,0.105319101,9.810734503,53.82175874,0.010096003,0.580201788,0.250792204,0.009869889,1.207755541,0.022011802,0.004828965,0.011699852,3.150395105,0.018163825,0.003467838,7.965733063,0.073727991,0.012366456,0.01350331,16.03361223,0.001405737,0.010277044,2.795730926,0.001850983,0.005888526,0.000385996,7.123086728,0.014249379,0.004126296,0.035408649
bin_234,0,0.048333548,0.009821039,15.06372959,0.01959015,22.35907835,0.022886608,0.000268096,0.005583567,0.006385008,0.025923744,0.011702736,0.028277536,0.014107486,0.061082247,1.162312979,0.009202339,0.011726762,1.899974366,7.64031022,0.56340367,0.021243985,0.007017133,0.016204905,0.00901781,0.031888751,0,0.019662332,0.065489523,0.014525941,1.361541119,0.095187233,1.137896226,0,0.008523171,0.937235723,0.020133766,0.175034216
bin_371,0,0.113876404,0.053789044,0.899878565,0.10848733,0.125362083,0.003207155,0.00554743,0.118224766,0.032611246,0.533918878,0.072786324,0.532321946,0.113930749,0.023306363,0.361252202,0.294312659,0.326526478,0.143940079,0.262926176,0.033588993,0.664006636,0.138072595,0.078342789,0.063570782,0.75889537,0.012335673,0.076544384,0.998752848,0.291496807,0.582497538,0.013547736,0.028161371,0.000206373,0.047851933,0.084763642,10.45150884,1.611088436
bin_113,0,0.125311544,0.116807979,0.502001081,0.17175338,0.129485874,0.004282076,0.009610448,0.010543269,0.069455393,1.262575257,0.126664576,1.398231989,0.210464135,0.027018408,0.238467848,0.541682852,0.657508936,0.166999462,0.132370578,0.03705321,0.573346561,0.310532358,0.08924657,0.083964534,0.525248574,0.026612848,0.138634388,0.035294196,38.19790892,0.735286192,0.023063985,0.073651796,0.000721258,0.052884495,0.141651908,0.213296894,7.452434102
bin_5,0,0.206883844,0.205057926,0.479762601,0.327568742,0.213254657,0.01254852,0.018582445,0.035827216,0.160313198,2.447175019,0.104321043,2.083024082,0.498597924,0.039969209,0.306854273,1.697186413,1.511456439,0.21772266,0.476702385,0.040493411,8.300737547,0.436580192,0.225504493,0.367069154,64.18338418,0.051288278,0.089592542,0.031772526,0.728901007,1.733445148,0.04242847,0.317708191,0.000638398,0.034297789,0.509272639,0.27088853,4.756602805
bin_11,0.001592387,0.069530599,0.064304231,0.245952577,0.104912904,0.067905668,0.002653329,0.006620873,0.018016705,0.337150871,0.777752934,0.126230311,452.9694603,0.071285911,0.017235807,0.167661991,0.302383178,0.303038561,0.101458144,0.088171541,0.063855201,0.209562174,0.086751797,0.062168611,0.044465908,0.255435668,0.018581202,7.621543402,0.012884861,0.300261733,8.124880743,0.009941974,0.04071727,0.00043683,0.087679081,0.07695434,0.122271359,1.377437803
bin_58,0.000690277,0.10458446,0.458616834,0.140914743,0.837252235,0.027530591,0.001847921,0.005002244,0.004185853,0.083599853,0.936750593,10.46305922,6.787635772,0.036432857,0.7585191,0.085078648,0.305222096,0.239720815,0.059411732,0.04741668,0.657078779,0.156213204,0.054777588,1.595370798,1.34977755,0.199939587,0.037401525,6.170021928,0.00774257,1.235049382,0.940984613,0.005983138,0.026825145,0,8.681325321,0.043163072,0.070034456,0.987204414
bin_142,0.002469853,0.299209057,0.621600132,0.432720778,1.013892707,0.11939487,0.006058426,0.02661354,0.013306919,0.098460009,1.4932819,11.5968294,0.621602463,0.095329457,0.203940144,0.219248427,0.267702603,0.281874507,0.221189929,0.234867366,2.975107335,0.197386559,0.103318737,2.715799716,0.053358115,0.270237187,0.03121792,13.11617706,0.020232912,0.558558423,1.160151866,0.016617273,0.040004364,0.000523192,7.295911047,0.097194013,0.148165005,2.855903149
bin_69,0,0.077624633,0.508251186,0.044156333,0.404345575,0.022907219,0.000279623,0.00049406,0,0.009128219,1.072325917,0.520604013,4.12E-07,0.079689343,1.47978767,0.005046139,0.031647471,0.001954526,0.002029941,0.003835695,31.179482,0.005963792,0.001543672,2.842407098,0.005134886,0.009273745,0.000896215,0.053616419,0.001029687,0.001170401,0.506785779,0,0.008005187,0,0.476994528,0.004001189,0.005845826,0.008536864
bin_229,0.003973539,0.039986866,0.102359205,0.040457216,0.112234415,0.001112077,0.002104669,0.00024462,0.018840758,0.055591829,2.353685316,0.82515783,0.068726075,0.804022945,0.249903,0.00112517,0.226811781,0.024958685,0.00184719,0.019365401,2.331746522,0.017715728,0.006399659,0.683664959,0.112566537,0.019850773,0.004896042,55.32416284,0.003080375,0.007608062,2.115136021,0.01045598,0.009570568,0,0.100824384,0.009698382,0.00746728,0.084186616
bin_343,0.001477315,1.552776612,2.208279685,0.040179486,3.834625619,0.02328394,0.000796791,0.000397166,0.207314015,0.159405038,4.933971055,14.04821695,0.108144498,0.067023104,0.597177569,0.0179441,5.768085672,0.06015008,0.012922645,0.020841932,11.91712176,0.049216032,0.012156968,6.355140032,0.301427121,0.033067467,0.031195206,3.136506352,0.014588708,0.023314129,1.159024677,0.006457423,0.020876321,0.00049998,5.914072481,0.039731165,0.018897694,0.069087151
bin_202,0,0.031427931,0.020851318,3.991377075,0.016331164,0.381984497,0.000999902,0.000681668,0.004313365,0.023253794,0.084982893,0.013138329,0.056820398,0.018683621,0.024688538,3.155556163,0.04783858,0.044282275,10.07771178,74.07782518,0.010043876,0.041255214,0.020243844,0.022570706,0.007715026,0.074669947,0.008746948,0.016632934,0.022958912,0.036038543,2.360240316,0.005278426,0.063780867,0.000283263,0.008485995,0.065998972,0.042018213,0.090856937
bin_273,0.002597899,0.418388522,0.334505375,0.663132744,0.576579805,0.154004951,0.004606688,0.028193025,0.013818375,0.165080449,2.044430841,20.8867812,26.06956771,0.268001047,0.165514991,0.40662136,0.956827849,1.126033951,0.355934852,0.240565173,1.984536138,0.510036164,0.557444472,2.176745894,0.140231937,0.562613495,0.039061175,23.45866791,0.022599141,2.277872036,2.272547473,0.024008351,0.090133401,0.000787953,0.374383949,0.192192047,0.239315485,15.36007042
bin_207,0.000765742,0.29884315,0.239826726,4.769718144,0.441708872,0.23412317,0.004544885,0.036535144,0.00805436,0.199766892,3.378414315,2.226750906,1.731161243,0.431307962,0.061146482,3.165350996,3.098086036,3.093877541,1.637824863,0.468474084,0.065951482,0.477534502,0.578037344,0.486465295,0.269181456,1.042802135,0.082572362,0.985835414,0.01772534,35.88383722,1.16701057,0.017012327,0.093257482,0.001082607,0.25714699,0.263792308,0.166181702,14.29695687
bin_286,0.000604742,0.329393285,0.028622924,0.021668299,0.053422153,0.016614327,0.001613499,0.000862979,0.019165209,174.2525152,0.122296523,0.054682084,0.620211362,0.014885504,0.024575787,0.010768458,0.078995851,0.025644063,0.012743503,0.013898444,0.125345704,0.013903583,0.007404324,0.091003777,0.022580956,0.014034379,0.000333307,0.057736537,0,0.009094656,4.715692176,0.000855162,0.012249964,0,0.012276423,0.027795931,0.00678787,0.015174542
