Reference Contig,TCS,TC,SLS,SL,SIS,SI,RVF,RSS,RS,QNS,QN,QHS2,QHS1,QH2,PLS,PGS,PG,PFS,PF,PBS,MTF,FAS,ETS,ESF9,EPS,EP,CYS,CY,BRS2,BRS1,BRF2,BRF1,BR1,BQS,BQ,BQF,ARS
COIBJCJJ_01153,26.38880149,2.81927492,1.891451383,10.87141823,0,0,0.288032015,0,0,0,0,0,0,0,37.18133221,0,0,0,0,0,96.68763867,0.356327806,0,0,0,0,0,32.9790874,0,0,0,0,0,0,0,0,0
COIBJCJJ_01312,400.1642092,34.49465785,8.058536565,20.7358153,0,0,0.440519553,0,0,0,0,0,0,0,528.6466809,0.080415681,0,0,0,0.389888887,148.0551089,0.217988775,0,0,0,0.085029141,0.093717709,127.6665839,0,0,0.19566465,2.415696339,3.56683963,0.226816111,0,0,0
COIBJCJJ_01313,458.7504771,39.46984888,5.898140131,19.60942266,0,0,0.764661979,0,0,0,0,0,0,0,632.9473998,0.031019339,0,0,0,0.112796056,141.9779775,0.42043216,0.153608339,0,0,0,0.325353861,120.7486871,0,0.863316808,0.188687952,2.795473559,3.584486709,0.437457329,0,0,0
MJKEKGKC_00368,0.516382172,0.375903323,0,0,0,0,0.045386863,0,0,0,0,0,0.238685221,0,0.125547356,0,0,0,0,0,0.092674136,0.112297248,0,0,0,0,0.019311528,0.040441282,2.938011567,0.653342713,0.564462868,0.348445896,0.116050285,0,0,0,0
MJKEKGKC_00369,0.913483082,0.261043974,0,0.300826814,0,0,0,0,0,0,0,0,0.128702815,0,0,0,0,0,0.03417575,0,0,0.137252192,0.188048303,0,0,0,0.147518616,0,2.58096155,0.822016158,0.615981304,0.152099399,0.354598092,0,0,0,0
MJKEKGKC_02202,1.112578244,0.099923668,0.871504182,0.115151935,0,0,0,0,0,0,0,0.107075993,0.543973038,0,0,0,0,0,0,0,0.325180638,0.656725677,0.179955085,0,0,0,0,0,2.684654557,0.618072909,0.766311931,0,0.622117665,0,0,0,0
MJKEKGKC_02203,1.03485496,0.271084127,0.13510367,0,0,0,0,0,0,0,0,0,0.456647488,0,0,0,0,0,0,0,0.117624865,0.391960586,0,0,0,0,0,0,2.680229302,0.60973726,0.767607471,0,0.18411824,0,0,0,0
NHOKFHJC_00055,0.458256941,2.448859237,13.6405399,2.656059224,0,0,0,0,0,0,0,0,0,0,0.705631122,0,0,0,0,0,13.12590459,10.79283111,0,0,0,0,0.081404433,1.87520614,27.76233284,5.346105086,18.69525739,2.517966695,5.05496404,0,0,0,0
NHOKFHJC_01086,2.452390661,4.368407754,8.70855741,3.760805212,0,0,0.068257587,0,0,0,0,0,0,0,0.69230866,0,0,0,0,0,14.77356046,8.174011394,0,0,0,0,0.058085455,4.83518174,48.95323097,4.363749839,29.40829492,7.4861423,8.900966167,0,0,0,0
NHOKFHJC_01455,0.93703285,3.681888888,10.52061018,8.20314311,0,0,0,0,0,0,0,0,0,0,0.420833486,0,0,0,0,0.11541487,15.17711872,11.51842928,0,0,0,0,0.221938455,7.20398053,35.17209121,4.306383156,24.79002968,5.220187586,8.002273358,0,0,0,0
NHOKFHJC_01456,2.110292468,2.929834721,12.53550132,5.223769139,0,0,0,0,0,0,0,0,0,0,0.609273931,0,0,0,0,0,13.43229826,12.82500628,0,0,0,0,0.156196182,3.46724517,24.27820097,3.978834513,19.56646496,3.381974874,5.318971379,0,0,0,0
NHOKFHJC_01743,2.612314636,4.65776525,12.6802075,7.818706399,0,0,0.071516817,0,0,0,0,0,0,0,1.022106199,0,0,0,0,0.126594209,18.10748938,13.67812652,0,0,0,0,0.091288464,6.404260383,38.40533247,5.056576885,25.79356584,4.784594741,8.259281341,0,0,0,0
NHOKFHJC_01769,1.096179699,3.007226582,13.58242231,5.126088903,0,0,0,0,0,0,0,0,0,0,0.997403991,0,0,0,0,0,21.81549155,11.65271109,0,0,0,0,0,5.783103264,25.18120747,2.959258169,17.00108399,2.464010266,3.616900538,0,0.091513617,0,0
NHOKFHJC_01953,1.894260373,3.657766168,8.478919993,5.195486537,0,0,0.22595615,0,0,0,0,0,0,0,0.625031016,0,0,0,0,0,15.77896998,11.06950759,0,0,0,0,0.288424328,4.932703298,38.57802311,3.539629922,25.79315507,3.717256866,6.25896201,0,0,0,0
BDEAIJED_01026,0,0,0,0,0,0,0,0,0,1.96729822,0.118576832,0,0,0,0,0,0,0.428274677,1.937765033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDEAIJED_01033,0,1.200096757,0,1.229324708,0,0.133559164,0,0.233256849,0,2.772447298,1.057577148,0.857331432,0,0.417794594,0,0.517268432,0,2.083498429,4.800769226,0.15674587,0,0.131456069,0.240142766,0.542627405,0.167417975,0.546944207,0.037677052,0.315605947,0,0,0.157324955,0,0.150943782,0,0,0,0
BDEAIJED_01369,0,0,0,0.060165363,0,0,0,0,0,2.438676554,0.376434387,0,0,0,0,0.025316048,0,0.475860752,4.579550519,0,0,0,0,0,0,0,0.059007446,0,0,0,0,0,0,0,0,0,0
